Words
baby
family
knew
went
little
man
told
year
ve
wasn
don
years
old
people
dad
night
child
love
thought
parents
came
door
feel
school
way
couldn
friends
started
going
room
eyes
took
kids
things
away
left
think
looked
morning
house
really
husband
long
head
days
father
thing
children
say
saw
face
asked
new
woman
tell
friend
good
right
maybe
make
son
later
want
sleep
let
turned
bed
wife
come
moment
girl
coffee
place
happened
story
daughter
look
sister
body
work
months
photo
remember
loved
car
ll
world
began
sure
person
mind
hours
feeling
getting
end
heart
birthday
doing
walk
heard
