Words
create
server
project
aws
files
application
container
python
image
folder
service
jenkins
environment
repository
deploy
version
add
data
app
json
need
spark
ansible
configuration
deployment
click
sudo
running
following
database
build
config
js
step
open
package
api
ip
env
setup
installed
user
windows
set
test
terminal
ubuntu
new
commands
port
java
default
py
start
like
want
services
ci
let
password
nodes
apache
https
azure
used
root
pipeline
heroku
import
com
path
created
source
kafka
text
pi
access
web
pip
local
example
make
instance
tool
select
download
linux
copy
script
key
ll
configure
dependencies
host
type
changes
http
sql
machine
cd
